Age,Gender,Country,AppliedAmount,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,DebtToIncome,FreeCash,PlannedInterestTillDate,Status,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan
53,1,0,2125,2125,20,60,62,2,4,2,0,6,6,1,1,0,301,0,53,0,0,0,354,8,485,26,10,1251,1,1,500,590,0,0
50,1,0,3000,3000,17,60,84,3,5,2,0,5,6,7,1,900,0,0,0,0,0,0,900,4,736,30,78,3000,0,1,1800,445,3000,1
44,0,0,10630,9100,13,60,268,3,4,4,1,5,3,8,8,600,0,0,0,0,0,600,1200,7,905,26,349,9100,0,0,0,0,0,0
42,0,1,1500,1500,40,60,63,2,2,1,0,3,5,1,2,863,0,0,0,0,0,0,863,1,350,7,449,1500,1,0,0,0,1500,1
34,1,1,1595,1090,68,48,101,7,4,4,2,6,1,1,3,0,697,0,0,0,0,0,697,5,940,36,95,1090,1,0,0,0,0,0
31,1,1,3720,775,73,60,243,7,4,1,0,3,5,7,4,970,0,0,0,0,0,0,970,5,960,47,154,775,1,0,0,0,0,0
22,0,0,635,635,42,60,27,8,2,3,0,3,1,9,4,745,0,0,0,0,0,0,745,1,250,3,467,617,0,0,0,0,0,0
47,0,1,1000,1000,61,12,116,6,3,2,2,6,6,1,1,0,1126,0,0,0,0,0,1126,2,560,29,449,403,0,0,0,0,1500,1
60,0,2,4000,4000,31,36,185,2,4,1,0,3,6,11,1,2590,0,0,0,0,0,0,2590,8,2068,48,336,3236,0,0,0,0,0,0
39,0,0,5000,5000,24,60,162,0,4,4,1,3,5,8,6,1000,0,0,0,0,0,0,1000,9,1293,51,14,5000,0,1,1000,106,5000,1
31,0,0,2000,2000,17,60,56,7,4,3,0,3,6,8,3,605,0,0,0,0,0,0,605,7,722,53,34,575,0,2,2100,1574,2000,1
45,1,0,530,530,25,60,16,2,4,1,0,3,6,1,9,633,0,0,0,0,0,0,633,7,666,30,41,130,0,0,0,0,0,0
49,0,0,5500,5500,21,60,162,2,4,4,0,5,6,13,1,550,0,0,0,0,0,0,550,1,250,29,137,5500,0,0,0,0,0,0
31,0,0,6900,6900,21,60,212,7,2,3,1,3,6,19,1,833,0,0,0,0,0,0,833,10,754,45,201,3,0,1,1500,1678,15900,2
35,1,0,2655,2655,26,60,86,2,4,3,0,3,6,17,4,341,0,0,0,0,0,0,341,6,403,25,4,4,0,0,0,0,0,0
22,1,0,3190,3190,51,60,155,7,3,3,0,3,1,3,2,430,0,0,0,0,0,0,430,7,595,40,7,2865,0,2,1600,1901,0,0
42,1,1,530,530,50,60,25,7,5,3,0,3,1,1,1,1000,0,0,0,0,0,0,1000,9,1097,58,61,530,0,1,600,344,0,0
33,0,0,500,500,43,60,22,5,2,1,3,3,5,1,1,500,0,247,0,0,0,240,987,6,769,50,195,274,0,1,3500,884,10000,7
67,0,2,3720,3720,26,60,121,0,3,4,0,6,2,6,3,0,1287,0,104,0,0,0,1391,12,1637,60,53,124,0,0,0,0,0,0
23,1,0,2500,2500,32,60,93,6,4,2,0,3,1,3,7,277,237,0,40,0,0,0,554,4,535,48,34,2500,0,2,3800,4456,18000,8
45,0,1,9565,465,40,60,393,2,5,3,0,3,6,17,1,2500,0,0,0,0,0,0,2500,1,750,15,1356,465,1,0,0,0,0,0
28,0,0,3500,3500,47,60,160,3,2,3,0,3,6,19,2,418,0,0,0,0,0,0,418,1,250,38,7,3452,0,0,0,0,0,0
28,1,0,4000,3780,34,60,153,7,2,2,1,3,6,1,2,0,170,45,38,342,0,0,595,4,515,54,18,3780,0,0,0,0,3395,1
