count,mean,std,min,25%,50%,75%,max
38.0,1.131578947368421,1.1664465009355587,0.0,0.0,1.0,1.75,3.0
38.0,1.3421052631578947,1.3611663478274936,0.0,0.0,1.0,3.0,3.0
38.0,2.3157894736842106,1.0424830845187962,0.0,2.0,2.0,2.75,4.0
38.0,2.4473684210526314,2.367543697145786,0.0,0.0,3.0,4.0,9.0
38.0,1.6842105263157894,1.2325596999497654,0.0,1.0,2.0,3.0,3.0
38.0,1.131578947368421,1.5797887753367355,0.0,0.0,0.0,2.0,4.0
38.0,2.210526315789474,1.0944057930353364,0.0,2.0,2.0,3.0,4.0
38.0,2.8157894736842106,1.1591064395751498,1.0,2.0,3.0,4.0,4.0
38.0,1.7894736842105263,0.7035775274456967,0.0,1.0,2.0,2.0,3.0
38.0,0.18421052631578946,0.4565003867790752,0.0,0.0,0.0,0.0,2.0
38.0,2.789473684210526,1.118828893925857,1.0,2.0,3.0,4.0,4.0
38.0,1.2894736842105263,0.9273004917455102,0.0,1.0,1.0,2.0,3.0
38.0,1.0789473684210527,1.194165522217229,0.0,0.0,1.0,2.0,3.0
38.0,1.7894736842105263,0.5769394898639181,0.0,2.0,2.0,2.0,2.0
38.0,0.8947368421052632,0.5594144469629286,0.0,1.0,1.0,1.0,2.0
38.0,1.4473684210526316,0.6856588238764245,1.0,1.0,1.0,2.0,4.0
38.0,2.0526315789473686,0.655429235096407,0.0,2.0,2.0,2.0,3.0
38.0,1.0526315789473684,0.22629428592141423,1.0,1.0,1.0,1.0,2.0
38.0,0.39473684210526316,0.49535538344028496,0.0,0.0,0.0,1.0,1.0
38.0,0.02631578947368421,0.16222142113076254,0.0,0.0,0.0,0.0,1.0
38.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
38.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
